key,readability_level
vector_store__deepseek-r1-1.5b__mxbai,15
vector_store__deepseek-r1-1.5b__mxbai,25
vector_store__deepseek-r1-1.5b__mxbai,95
vector_store__deepseek-r1-1.5b__mxbai,15
vector_store__deepseek-r1-1.5b__mxbai,10
vector_store__deepseek-r1-1.5b__mxbai,65
vector_store__deepseek-r1-1.5b__mxbai,38
vector_store__deepseek-r1-1.5b__mxbai,10
vector_store__deepseek-r1-1.5b__mxbai,25
vector_store__deepseek-r1-1.5b__mxbai,15
vector_store__deepseek-r1-1.5b__mxbai,75
vector_store__deepseek-r1-1.5b__mxbai,10
vector_store__deepseek-r1-1.5b__mxbai,0
vector_store__deepseek-r1-1.5b__mxbai,10
vector_store__deepseek-r1-1.5b__mxbai,15
vector_store__deepseek-r1-1.5b__mxbai,10
vector_store__deepseek-r1-1.5b__mxbai,35
vector_store__deepseek-r1-1.5b__mxbai,60
vector_store__deepseek-r1-1.5b__mxbai,40
vector_store__deepseek-r1-1.5b__mxbai,35
vector_store__deepseek-r1-1.5b__mxbai,50
