key,readability_level
hybrid__deepseek-r1-1.5b__mxbai,25
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,72
hybrid__deepseek-r1-1.5b__mxbai,35
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,35
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,72
hybrid__deepseek-r1-1.5b__mxbai,72
hybrid__deepseek-r1-1.5b__mxbai,35
hybrid__deepseek-r1-1.5b__mxbai,72
hybrid__deepseek-r1-1.5b__mxbai,55
hybrid__deepseek-r1-1.5b__mxbai,35
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,55
hybrid__deepseek-r1-1.5b__mxbai,35
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,45
hybrid__deepseek-r1-1.5b__mxbai,45
