key,readability_level
bm25__deepseek-r1-1.5b__nomic,35
bm25__deepseek-r1-1.5b__nomic,35
bm25__deepseek-r1-1.5b__nomic,15
bm25__deepseek-r1-1.5b__nomic,35
bm25__deepseek-r1-1.5b__nomic,45
bm25__deepseek-r1-1.5b__nomic,35
bm25__deepseek-r1-1.5b__nomic,45
bm25__deepseek-r1-1.5b__nomic,78
bm25__deepseek-r1-1.5b__nomic,78
bm25__deepseek-r1-1.5b__nomic,72
bm25__deepseek-r1-1.5b__nomic,65
bm25__deepseek-r1-1.5b__nomic,45
bm25__deepseek-r1-1.5b__nomic,55
bm25__deepseek-r1-1.5b__nomic,35
bm25__deepseek-r1-1.5b__nomic,45
bm25__deepseek-r1-1.5b__nomic,45
bm25__deepseek-r1-1.5b__nomic,72
bm25__deepseek-r1-1.5b__nomic,65
bm25__deepseek-r1-1.5b__nomic,35
bm25__deepseek-r1-1.5b__nomic,45
bm25__deepseek-r1-1.5b__nomic,45
