key,readability_level
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,45
prompt__full__qwen2.5-0.5b,45
prompt__full__qwen2.5-0.5b,65
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,85
prompt__full__qwen2.5-0.5b,65
prompt__full__qwen2.5-0.5b,65
prompt__full__qwen2.5-0.5b,65
prompt__full__qwen2.5-0.5b,45
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,65
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,25
prompt__full__qwen2.5-0.5b,68
prompt__full__qwen2.5-0.5b,45
prompt__full__qwen2.5-0.5b,72
prompt__full__qwen2.5-0.5b,95
