correctness,semantic_similarity,g_eval
0.0,0.3976805068145599,0.0
0.0,0.42280266052871823,0.0
0.0,0.5051761846601706,0.0
0.0,0.4830876100596229,0.0
0.0,0.6442862827218135,0.0
0.0,0.6050034244075385,1.0
0.0,0.40279790766441786,0.0
0.0,0.46656756852389897,0.0
0.0,0.5065876687393694,0.0
0.0,0.47679123858454076,0.0
0.0,0.4748566472992867,0.0
0.0,0.4662958703733088,0.0
0.0,0.47320534202513304,0.0
0.0,0.614041704218402,0.0
0.0,0.6116490596010349,0.0
0.0,0.46529122988879845,0.0
0.0,0.483224418787534,0.0
0.0,0.4492429732636583,0.0
0.0,0.44624379657725327,0.0
0.0,0.47143378626727994,0.0
0.0,0.522248239604109,0.0
