correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5953859710438293,1.0,0.0,0.0
2.0,0.6406047774855209,1.0,0.0,0.0
4.0,0.623578320973844,1.0,0.0,0.0
1.0,0.5747341950872035,0.0,0.0,0.0
4.0,0.5930852050531571,0.0,0.0,0.0
1.0,0.5561559145955242,0.0,0.0,0.0
1.0,0.5810246970503821,0.0,0.0,0.0
2.0,0.632982352315092,0.0,0.0,0.0
1.0,0.638894819564791,0.0,0.0,0.0
1.0,0.6069394408889542,0.0,0.0,0.0
2.5,0.9372777377202735,0.0,0.0,0.0
1.0,0.6524255277093506,1.0,0.0,0.0
2.0,0.5798567991704617,0.0,0.0,0.0
1.0,0.7803273267993611,0.0,0.0,0.0
1.0,0.5770329755786084,0.0,0.0,0.0
1.0,0.5569615754921878,0.0,0.0,0.0
1.0,0.5981719961821719,0.0,0.0,0.0
1.0,0.5805797158735703,0.0,0.0,0.0
5.0,0.9981231017797354,0.0,0.0,0.0
5.0,0.9981231017797354,1.0,0.0,0.0
