correctness,semantic_similarity,g_eval
1.0,0.8036576437817644,0.0
1.0,0.828285860522805,1.0
0.0,0.8673241161694207,1.0
0.0,0.8277413881354194,0.0
0.0,0.8197799003671916,0.0
0.0,0.6931116832659607,1.0
0.0,0.6411870626801535,0.0
1.0,0.851098713777768,0.0
1.0,0.8120699090755958,1.0
1.0,0.7363752027156765,0.0
0.0,0.766349954389029,0.0
0.0,0.7327516189605244,0.0
0.0,0.8622338886416636,0.0
0.0,0.8024390215894532,0.0
1.0,0.8021673277728029,0.0
1.0,0.8774062321145798,1.0
0.0,0.8478503334746466,0.0
1.0,0.8600370707360283,0.0
0.0,0.8494685520315586,0.0
1.0,0.8653383507743867,1.0
0.0,0.7336121620106419,1.0
