correctness,semantic_similarity,g_eval
0.0,0.8308460276444979,0.0
1.0,0.8207596669696191,0.0
0.0,0.6847793293401134,0.0
0.0,0.8149151697637289,0.0
0.0,0.817565466299431,1.0
1.0,0.8463938790545171,0.0
1.0,0.7553557946800867,0.0
1.0,0.7618015936559548,0.0
0.0,0.8223175295163465,0.0
0.0,0.7022778411551651,0.0
1.0,0.8134990820227601,0.0
1.0,0.7281324019661055,0.0
0.0,0.743139156392789,0.0
1.0,0.6578557527597901,0.0
1.0,0.8158342641990897,0.0
1.0,0.7973520591080699,0.0
1.0,0.7175809868973116,0.0
0.0,0.6829537536706513,0.0
0.0,0.37729064063464374,0.0
0.0,0.7769931728749806,0.0
1.0,0.8023196048363266,0.0
