correctness,semantic_similarity,g_eval
1.0,0.7993617734922666,0.0
0.0,0.7947538072895043,1.0
0.0,0.8058077586136878,0.0
1.0,0.48518263483296403,0.0
0.0,0.8455337727506433,1.0
1.0,0.8285598714839908,0.0
1.0,0.7923229907971878,0.0
1.0,0.8628261367378633,0.0
1.0,0.8750909438720248,1.0
0.0,0.8360708284288076,0.0
0.0,0.7636517044442807,0.0
1.0,0.7700377316420597,1.0
1.0,0.8372702998029968,0.0
1.0,0.8859032855542261,0.0
1.0,0.7745992675505864,1.0
1.0,0.5991119639570173,0.0
1.0,0.8036555317071867,1.0
0.0,0.7278128125434141,0.0
1.0,0.5034140031587483,1.0
1.0,0.8477803179783479,0.0
0.0,0.7948495212870946,1.0
